strain,country,location,date,day_occurence,lon,lat
Wuhan/HBCDC-HB-06/2020,China,"Wuhan, China",2020-02-07,45,114.2999353,30.5951051
China/WF0006/2020,China,"?, China",2020-01-19,26,104.999927,35.000074
Wuhan/HBCDC-HB-04/2020,China,"Wuhan, China",2020-01-18,25,114.2999353,30.5951051
Singapore/12/2020,Singapore,"?, Singapore",2020-02-17,55,103.8194992,1.357107
Wuhan/HBCDC-HB-02/2020,China,"Wuhan, China",2020-01-17,24,114.2999353,30.5951051
Tianmen/HBCDC-HB-07/2020,China,"Tianmen, China",2020-02-08,46,113.1616191,30.6635516
China/WF0001/2020,China,"?, China",2020-01-12,19,104.999927,35.000074
Guangdong/GD2020085-P0043/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
England/01/2020,United Kingdom,"?, United Kingdom",2020-01-29,36,-3.2765753,54.7023545
England/02/2020,United Kingdom,"?, United Kingdom",2020-01-29,36,-3.2765753,54.7023545
Chile/Santiago-1/2020,Chile,"?, Chile",2020-03-03,70,-71.3187697,-31.7613365
Spain/Valencia2/2020,Spain,"Valencia, Spain",2020-03-04,71,-0.3759513,39.4699014
Chile/Talca-1/2020,Chile,"?, Chile",2020-03-02,69,-71.3187697,-31.7613365
Chile/Talca-2/2020,Chile,"?, Chile",2020-03-04,71,-71.3187697,-31.7613365
SouthKorea/KCDC05/2020,South Korea,"?, South Korea",2020-01-30,37,127.6961188,36.638392
Guangdong/2020XN4273-P0036/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
China/WF0028/2020,China,"?, China",2020-02-10,48,104.999927,35.000074
China/WF0012/2020,China,"?, China",2020-02-09,47,104.999927,35.000074
China/WF0026/2020,China,"?, China",2020-02-22,60,104.999927,35.000074
India/1-31/2020,India,"?, India",2020-01-31,38,78.6677428,22.3511148
Guangdong/2020XN4475-P0042/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
China/WF0014/2020,China,"?, China",2020-02-22,60,104.999927,35.000074
USA/AZ1/2020,USA,"Phoenix, USA",2020-01-22,29,-112.0741417,33.4484367
Yunnan/IVDC-YN-003/2020,China,"Kunming, China",2020-01-17,24,102.714338,25.0437977
Anhui/SZ005/2020,China,"Suzhou, China",2020-01-24,31,120.5810725,31.3016935
SouthKorea/KCDC24/2020,South Korea,"Chungcheongnam, South Korea",2020-02-06,44,126.6729,36.6593
HongKong/VM20001061/2020,Hong Kong,"?, Hong Kong",2020-01-22,29,114.1628131,22.2793278
Sichuan/IVDC-SC-001/2020,China,"Chengdu, China",2020-01-15,22,104.0633219,30.6624205
USA/CA1/2020,USA,"Los Angeles, USA",2020-01-23,30,-118.2427666,34.0536909
USA/IL2/2020,USA,"?, USA",2020-01-28,35,-100.4458825,39.7837304
Vietnam/VR03-38142/2020,Vietnam,"?, Vietnam",2020-01-24,31,108.4265113,13.2904027
Guangdong/GZ-S6-P0050/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Australia/QLD02/2020,Australia,"Gold Coast, Australia",2020-01-30,37,153.4145987,-28.0023731
Australia/QLD03/2020,Australia,"Gold Coast, Australia",2020-02-05,43,153.4145987,-28.0023731
Netherlands/Utrecht_16/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
USA/CA7/2020,USA,"?, USA",2020-02-06,44,-100.4458825,39.7837304
Australia/QLD04/2020,Australia,"Gold Coast, Australia",2020-02-05,43,153.4145987,-28.0023731
